0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1
0,0,0,2,0,0,2,0,0,2
0,0,0,3,0,0,3,0,0,3
0,0,0,4,0,0,4,0,0,4
0,0,0,5,0,0,5,0,0,5
0,0,0,6,0,0,6,0,0,6
0,0,0,7,0,0,7,0,0,7
0,0,0,8,0,0,8,0,0,8
0,0,0,9,0,0,9,0,0,9
0,0,0,0,1,0,0,1,0,10
0,0,0,1,1,0,1,1,0,11
0,0,0,2,1,0,2,1,0,12
0,0,0,3,1,0,3,1,0,13
0,0,0,4,1,0,4,1,0,14
0,0,0,5,1,0,5,1,0,15
0,0,0,6,1,0,6,1,0,16
0,0,0,7,1,0,7,1,0,17
0,0,0,8,1,0,8,1,0,18
0,0,0,9,1,0,9,1,0,19
0,0,0,0,2,0,0,2,0,20
0,0,0,1,2,0,1,2,0,21
0,0,0,2,2,0,2,2,0,22
0,0,0,3,2,0,3,2,0,23
0,0,0,4,2,0,4,2,0,24
0,0,0,5,2,0,5,2,0,25
0,0,0,6,2,0,6,2,0,26
0,0,0,7,2,0,7,2,0,27
0,0,0,8,2,0,8,2,0,28
0,0,0,9,2,0,9,2,0,29
0,0,0,0,3,0,0,3,0,30
0,0,0,1,3,0,1,3,0,31
0,0,0,2,3,0,2,3,0,32
0,0,0,3,3,0,3,3,0,33
0,0,0,4,3,0,4,3,0,34
0,0,0,5,3,0,5,3,0,35
0,0,0,6,3,0,6,3,0,36
0,0,0,7,3,0,7,3,0,37
0,0,0,8,3,0,8,3,0,38
0,0,0,9,3,0,9,3,0,39
0,0,0,0,4,0,0,4,0,40
0,0,0,1,4,0,1,4,0,41
0,0,0,2,4,0,2,4,0,42
0,0,0,3,4,0,3,4,0,43
0,0,0,4,4,0,4,4,0,44
0,0,0,5,4,0,5,4,0,45
0,0,0,6,4,0,6,4,0,46
0,0,0,7,4,0,7,4,0,47
0,0,0,8,4,0,8,4,0,48
0,0,0,9,4,0,9,4,0,49
0,0,0,0,5,0,0,5,0,50
0,0,0,1,5,0,1,5,0,51
0,0,0,2,5,0,2,5,0,52
0,0,0,3,5,0,3,5,0,53
0,0,0,4,5,0,4,5,0,54
0,0,0,5,5,0,5,5,0,55
0,0,0,6,5,0,6,5,0,56
0,0,0,7,5,0,7,5,0,57
0,0,0,8,5,0,8,5,0,58
0,0,0,9,5,0,9,5,0,59
0,0,0,0,6,0,0,6,0,60
0,0,0,1,6,0,1,6,0,61
0,0,0,2,6,0,2,6,0,62
0,0,0,3,6,0,3,6,0,63
0,0,0,4,6,0,4,6,0,64
0,0,0,5,6,0,5,6,0,65
0,0,0,6,6,0,6,6,0,66
0,0,0,7,6,0,7,6,0,67
0,0,0,8,6,0,8,6,0,68
0,0,0,9,6,0,9,6,0,69
0,0,0,0,7,0,0,7,0,70
0,0,0,1,7,0,1,7,0,71
0,0,0,2,7,0,2,7,0,72
0,0,0,3,7,0,3,7,0,73
0,0,0,4,7,0,4,7,0,74
0,0,0,5,7,0,5,7,0,75
0,0,0,6,7,0,6,7,0,76
0,0,0,7,7,0,7,7,0,77
0,0,0,8,7,0,8,7,0,78
0,0,0,9,7,0,9,7,0,79
0,0,0,0,0,1,0,0,1,80
